ques,label
伪 词汇 早就 塞满 这场 持续 三年 运动 不是 一种 新型 冠状病毒 带来 新冠 肺炎 语言 精准 稍 要求 难以 接受 疫情 自上而下 俯视 角新话 方舱 从来 没有 医院 功能 有人 说 方舱医院 躺平 捏造事实 政治 斗争 语言,-1
时期 收 钱 不够 洗白 智商 堪忧,-1
说 冠冕堂皇 真 没用 睁眼 老百姓,-1
锲而不舍 精神,1
辛苦 美女,1
照搬,-1
值得,-1
吃饱 没事 做 真的 没事 做 吃 奥利,-1
武汉 必胜,1
美,1
微风 微风,1
有人 信 费解,-1
发现 东北 豪爽 可爱,1
退 一万步 说 建设 问题 情有可原 几天 之内 建造 一家 医院 精神 说话 凭良心,-1
湖北 感谢,1
江苏 自救 扬州 加油,1
文化 输出,1
拥有 挑战 自我 勇气 不畏 攀登 路上 艰险 享受 人生 每段 旅程 肆柒,1
造谣 家伙 判他 几年 拘留 纵容 严惩 止谣,-1
上海 点牛 金融 立案 平台 经侦 好像 诈骗犯 一拨 罪犯 着想 容易 钱 亏损 业务员 工作人员 养家糊口 搪塞 糊弄 出借 没有 追赃 挽损 工作 老百姓 损失 毕生 积蓄 活该 倒霉 怒 警民 直通车 浦东 廉洁 上海 中国 之声 上海浦东新区 法院 全国人大 人民日报,-1
说 建好 方舱医院 拆 反对,-1
春暖 艳阳天,1
高考 发挥 不错 想 回报 社会 湖北 高考 成绩 此前 备受 关注 武汉 方舱医院 备考 女孩 黄玉 婷 发挥 不错 女孩 艺术 生 方舱医院 治疗 经历 填报 师范 专业 说 方舱医院 最想 感谢 一位 警察 哥哥,1
真的 配备 到位 火神山雷神山 十来天 盖 测试 站点 做 不到 致敬 图 生气 医护人员 牺牲 中暑 躺 地上 休息 准备 点 行军床 准备 冰块 不行 缺 那点 钱,0
不能 市 名字 写全 乌鲁木齐市 乌海市 简称 乌市,-1
真牛 太 厉害 新增 三百多 你们好 有能力,1
博君 一肖,1
王凯 天使 护航 加油,1
感恩 心 鲜花,1
加油,1
哎,-1
搞 三个 终 创新 高 允悲,-1
武汉 里里外外 三万多 床位 差 算,-1
有备无患 微笑,1
这是 真滴,-1
谢谢 庄 医生,1
加油,1
武汉 加油,1
赞赞赞 中国 中国 中国,1
补贴 家里 入不敷出 真的 绝望,-1
辽宁 加油 万众一心 共抗 疫情,1
韩老师 祝您 新 一年 恢复健康,1
张 医生 开微博 特别 大众 对话 媒体 断章取义 转述,1
有才,1
小宝贝 加油,1
我妈 工作 医院 每次 疫情 收入 少 一半 方舱 大白 工作 能干 替代性 强 愿意 干 顶上 上班 休息时间 拉 支援 分比 医院 不建 建他 妈 逼 方舱 脏 猪圈 没病 拉 脏出 病来,-1
加油 小姐姐 辛苦 哥哥 爱 爱,1
喵 喵 深圳 久 麻木,1
默默 做事 站子 辛苦,1
清明节 假期 支援 儿童节 前夕 平安 归来 天 支援 上海 超过 支援 武汉 时间 奏耐 天津 天津 援护 医疗队 凯旋 欢迎 回家 爱,1
北京协和医院 核酸 采样 方舱 投用,0
几个 国家 里 感觉 伊朗 方舱医院 条件 最好 建 方舱 时 天气 冷 方舱 里 厚 被子 电热毯 暖和 拖个 躺椅 能建 省 好多 人力物力,1
说 西医 没治 有没有 轻转重 有没有 中医 治疗 轻转重 不是 没有 极少 张 院士 管理 方舱医院 转重 复阳 医院 影片 安排 中医 治疗 后轻 转重 情节 中国 医生 里 中医 治疗 后轻转 危重 靠西 医治,-1
真的 微笑,1
中学毕业 旅行 报复性 反弹 自欺欺人 思考,-1
中国 天人合一 医学 微风 微风 微风,1
致敬,1
感动 吐 太 开心,1
重要 事 主流 媒体 跑,-1
喜欢 海尔 产品 质量,1
请问 啥时候 获奖 名单 太 开心 鼓掌 嘻嘻,1
一切顺利,1
国民 整体 公卫 意识 缺失 严重 自我 防范 保护意识 短板,-1
微 危险 人民解放军 余天 里 走遍 武汉 大街小巷 物资 输送 火神 山 雷神山医院 医疗 单位 医疗 器材 星夜 驰援 火速 运输 坚实 肩膀 扛起 武汉市 基础 运输 保障 任务 可爱 战士 凯旋,1
值得 尊敬 盘点 疫情 里 冲锋陷阵 勇士 身为 儿女 丈夫 妻子 爸妈 普通人 不幸 牺牲 武昌 医院院长 刘智明 身患 渐冻症 坚持 一线 感染 金银 潭 医院院长 张定宇 骑行 天 夜 返回 工作岗位 医生 甘 如意 火神山雷神山 医院 每位 建造 谢谢你们 付出 义无反顾 致敬 疫情 一位 生命 保护 无名之辈,1
有人 十条 经验 全国 一级 响应 两山 医院 方舱医院 全国 医护 紧急 驰援 全民 戴 口罩 疫情 控制 医疗 救治 我国 抗击 新冠 疫情 表现 令人惊叹 恰当 宏观政策 防控 策略 医务 工作者 奉献 全 社会 全国 努力 疫情 防控 成果,1
社区 不许 回家 睡觉 入户 干部 单元楼 门口 睡 星期 方舱医院 完工 清零 工地 炒 莲花白 莲花 清瘟 发药 好事 吃 上吐下泻 领药 不是 浪费 最惨 惨 基层 朋友 新疆 晚上 十点 被叫 吃药 检查 核酸 不让 出门 停电 没有,-1
雷 神山 火神 山 中国 战疫 前线 日夜 奋斗 医护人员,1
阴阳 两隔 顶得住 阴阳 合,-1
相遇 春风 十里 相爱 山长水阔 任嘉伦,1
廊坊 加油 保护 虎爪 比心 虎爪 比心 虎爪 比心,1
完 全员 英雄 记得 火神山雷神山 建完 陈 卫国 总经理 接受 采访 戳 泪点 没有 以往 强调 精兵强将 说 夹 石头缝 蚂蚁 没有 余地 尽力 施展 力量 前些天 有幸 见到 张定宇 院长 真的 和蔼可亲 自带 坚定 力量,1
北京 马 理论 调剂 希望 二哈,1
加油 阿三 第一,1
猛 真的 猛,1
谢谢你们 美丽 坚强 勇敢 善良 白衣天使 世界 美好,1
想,1
现已 爱新觉罗 家族,1
工钱 没发 事情 饭菜 差 贵 注 不用 一人 承担 至少 差 不能 算 辟谣 有则改之 无则加勉 挂出 提出 问题 说 谣言 事 结算 新闻报道 没付 工钱 补偿 倒打一耙 说 辟谣 理,-1
王凯 天使 护航 王凯 天使 护航 雷 神山 逆 行者 致敬 心,1
广州 疫情 防控 精准 到位 一家 土生土长 老广 外婆 两个 小朋友 停课 不停 学 上网 课外 老公 正常 上下班 周六日 天河 堂食 生活 没有 乱 希望 疫情 尽快 退 恢复 多姿多彩 生活 求 关注,1
浙江 加油,1
我科 真的 付出 太多太多 典型 低调 闷头 做事 理工 男 爱 爱 爱 我科 值得 大大的 宣传 心 心 心,1
邓伦芯 公益 计划 未来,1
加油 小心 心,1
引体向上 不算 剧烈运动,0
性命 危急 之时 冷漠 释怀 医生 专业 能力 不足 判断 病情严重 失误 家长 哀求 宝宝 严重 症状 视而不见 医院 毫无 应急 预案 急症 处理 急诊 核酸 龟速 从未有过 道歉 付出代价,-1
叔 真的 瘦 好多 又帅 感觉 皮肤 变好,1
方舱医院 体育中心 令人 泪目 这才 熟悉 武汉 美好 快点 回来,1
解 裂开 裂开 裂开 裂开,-1
这才 居家 隔离 事 非要 搞 方舱 天天 核酸 不是 聚集 自测 不行 减少 聚集 重症 医院 北京 丰台 刚刚 街道 小区 住户 统一 签署 阳性 轻症 医院 在家 隔离 同意书 不再 统一 转运 方舱 自愿 就医 造谣,-1
中国 速度,1
美的 美的,1
小马 棒棒,1
致敬,1
床位 不够 时 征用 党校 宿舍 火神山雷神山 兴建 整整 延误 十到 十五天 收治 隔离 轻症 病人 时间 湖北 抗击 疫情 一再 延误 黄金 时机 以死谢 国人,-1
郑州 解释 自限性 郑州大学 附属 第一 医院 副 院长 富士康 检测 上报 对口 医院,-1
美国 完完全全 浪费 中国 世界 时间 变本加厉 活在 梦里 摊手,-1
诅咒 式 标语,-1
青岛 方舱医院 建好 政府 通知 核算 检测 说 核算 检测 演练 无力,-1
脸 打肿 辟谣,-1
心 心 心,1
基础 病 心肝 肾功能 不全 原本 好好 病毒 不是 放开 没有 准备 放开 一夜之间 城市 努力 花 钱 废 意义,-1
武汉 私家车 上路,-1
病例 证据 证明 笑,-1
传染,-1
微风 微风 微风 话筒 话筒 话筒,1
千兆 网络 升级 山东 济南 联通 保障 方舱医院 网络 质量 第一 时间 派出 网络 优化 小组 现场 实地 勘察 网络 优化 实施方案 计划 网络 基站 扩容 优化 保障 方舱医院 网络 信号 质量,1
晓明哥 支援 真的 很大 希望 医护人员 能够 平安,1
期待 靳东 老师 新剧 心 心 心,1
没有 渠道 买不到 口罩 回收 流入 正规 店面 市民 说,-1
加油,1
一线 呼声 不要 封 医院 封区 时 留出 紧急 通道 以便 警察 消防 救护车 出入 减少 核酸 测试 频率 密接 次 密接 做 区分 减少 医护 资源 浪费 避免 群聚 传播 现阶段 隔离 方舱 方舱 易 多种 变异 共存 产生 新 变异,-1
口袋 装满,-1
该不该 阳 复检 阴,-1
加油 加油 加油 加油,1
说句实话 上海 情况 密集 太 安全,-1
有生之年 遇见 实乃 大幸,1
武汉 变化 感慨 封城到 医疗系统 击穿 方舱医院 火神 山 全国 武汉 扔 物资 有肉 送 肉 有米 送 米 武汉大学 路上 落 一地 樱花 飘 一冬 一春 红 窗帘 双节 人挤 前 一阵 武汉 公交 卡 大桥 正常 生活 终于 回来,1
说 封 封 说 各大 平台 买菜 各大 平台 买不到 菜 真的,-1
口罩 话 新冠 阴谋论 反智 估计 允悲 前 打乱 国家计划 节奏 反 口罩 核酸 方舱医院 病态 压平 曲线 重要 豌豆 哼 哎 群里 呼吁 等一等 不要 激动 病毒 更弱 国家 准备 可惜 理解 允悲,-1
中国 中国 中国,1
张碧晨 唱功 实力 稳定 鼓掌 鼓掌,1
大庆 联通 快速 完成 首家 方舱医院 网建,1
啥时候 贵金属 宝玉石 检测 发 一笔 横财 苦涩,-1
我来 监工,-1
愿 疫情 早日 消失 殆尽 祈祷 平安,1
等待 词 迷人 沉淀 蓄势待发 功成名就 世界 精彩 处见 玖 少年 团肖战,1
费解,-1
感动,1
买点儿 蒲公英 喝 太 吓人,-1
收藏,1
春水 初生 春林 初盛 春风 十里 朱一龙 我爱你 抱 一抱 朱一龙,1
新 一年 越来越,1
太 优秀,1
方舱医院 跳个 舞 气得 公知 阴阳怪气 武汉 不得 公知 气死,-1
华科 鲜花,1
没死 完 高,-1
开心 人民日报 微评 一种 关门 快慰 人心 住院 难 武汉 首家 方舱医院 休舱 床 床 令人欣慰 变化 显现 但愿 世间 无恙 架上 药生尘 越来越 患者 康复 越来越 方舱医院 休舱 尚未 疫情 防控 胜利 春天 已来 冀望 春风 捎来 好消息,1
瑞德 西韦 同情 用药 理论 重症 患者 瑞德 西韦 效果 没有 副作用 没有 说 无效 没有 消息 最好 消息 吃瓜,1
早 证实 通风 差且 病人 密集 地方,-1
无症状 真的 变异 成钙 铁锌 硒 维生素 肯 罢休,-1
加油 加油 加油 心,1
真的 一看 哭,-1
明白 转阴 非要 有人 接收 放人,-1
敲 键盘 有用 有用吗 没用 堵住 源头 指数 增长 不是 闹着玩 只会 一次次 耗光 人力物力 精疲力尽 躺平,-1
中信 院 负责 蔡甸 火神山医院 设计 南院 负责 军运村 雷神山医院 设计 鼓掌 鼓掌 米兰 锦瑟 南院 中信 院,1
兄弟,1
主 描述 情况 隔离 条件 医疗 资源 匮乏 大面积 传播 时 动态 清零 行政 压力 疫区 所有人 超负荷 工作 轻症 在家 隔离 不太 现实 传播 可能性 太 医院 隔离 不行 医疗 资源 实在 不足以 应对 轻症 方舱医院 最好 办法,-1
话 说 笑,-1
想治 治不好 刚治好 临床 传染,-1
沙区 例 这是 点 增加 几十 例 允悲,-1
靳东 方舱 期待 方舱 期待 靳东 诠释 胡 庆生 院长 最美 逆 行者 致敬 靳东,1
唉 老公 召回 建 方舱医院 希望 快点 结束,-1
天气 确实 不好 武汉 很久没 见过 大风 大雨,-1
买 他家 护肤品,1
牛牛 哒,1
武汉市 新冠 肺炎 疫情 防控 指挥部 做好 重症 收治 工作 武汉市 定点 医疗机构 已达 余家 火神 山 雷神山医院 床位 增加 万张 用于 收治 重症 危重症 患者 昨天 武汉市 指挥部 统一 调度 全市 病床 安排 收治 重症 患者 调度 全市 病床 资源 计划 收治 重症 患者 余人 总台 央视 记者 王涵,0
汉南 建,1
疫情 真 讨厌 全球 静默 半月 早就 结束,-1
山西 联通 抗击 疫情 央企 尽快 遏制 新冠 疫情 蔓延 贵阳市 近期 清镇 建设 方舱医院 清镇市 数据 部门 统筹 贵州 联通 现场 拟定 基站 扩容 方案 快速 做好 通信 保障 确保 网络 畅通 新闻报道 贵阳 疫情,1
团结 力量,1
疫情 管控 前提 救人,-1
情况 爱国 反美 斗士 喷 找到 七寸 痛点 爱国 疫苗 美国 疫苗 差太远 没打 疫苗 活该 总统 新冠 美国 防疫 彻底 失败 新冠 工作 自觉 进 方舱医院 隔离 强制 拉走 防疫 措施 糟透 烂透 凡赞 带病 坚持 工作 病毒 强弩,-1
真,1
感谢,1
可怜,-1
山西 联通 抗击 疫情 央企 尽快 遏制 新冠 疫情 蔓延 贵阳市 近期 清镇 建设 方舱医院 清镇市 数据 部门 统筹 贵州 联通 现场 拟定 基站 扩容 方案 快速 做好 通信 保障 确保 网络 畅通 新闻报道 贵阳 疫情,1
棒 记得 当初,1
裂开 裂开 裂开 管一管,-1
塞塞 温情脉脉 爱,1
不是 沈严 一组,-1
抗击 新型 肺炎 跟着 张翰益 加油 太阳 太阳,1
复旦大学 附属 肿瘤医院,0
支持一下 老师,1
小米 空气 净化器 紫外线 杀菌,-1
核酸 检测 早就 建设 方舱医院 早 发现 早隔离 进 方舱 进 医院 没有 医疗 挤兑 全 放开 院感 养老院 大规模 感染 不可避免 不是 数字,-1
甜辰 哇 郭俊辰,1
山西 医生 威武,1
谢谢 孽子 分享 抱 一抱,1
肺炎 求助 超话 无数 确诊 病人 没有 床位 只能 在家 泪 泪,-1
坐标 东南 沿海 同事 妻子 援 鄂 护士 同事 支持 妻子 支援 武汉 医护 了不起 回来 全城 播放 欢迎 标语 市民 夹道欢迎,1
五星红旗 红 增加 光彩 抗击 疫情 医护人员 致敬,1
威海 高效 城市 治理 水平 威海 市民 纯朴 文明 城市 好不好 居民 发言权 请 喷子 不要 站 上帝 视角 评判 走遍 四海 威海,1
上海 基层干部 执行 抗疫 防疫 政策 荒腔 走板 小区 居委会 牛 逼 方舱医院 权威性 不认 核酸 检测 应绿码 通行 建议 彻查,-1
央视,0
这是 情况,-1
想 雷 神山 毕业 先过 东北 话 八级 雷 神山 病区 走 道 里 几名 几天 出院 患者 测试 东北 话 说 测试 医护 病人 之间 沟通 方式 病区 医护人员 辽宁 营口 患者 住院 期间 学了 不少 东北 话 患者 说 医疗 队员 病区 元气 最旺 开心 笑 笑 哭,1
方舱 阻住 医保 局 为首 利益集团 发达 怒,-1
走进 火神 山 雷 神山 故事 领略 中国 速度 抗 疫 医护人员 致敬,1
学 挺,1
市长 眼袋 辛苦 采访 起码 周 市长 看稿,1
全球 同心 抗疫 全球 同舟共济 万众一心 战胜 疫情 可爱,1
挂,-1
鲜花,1
五四 精神 传承,1
朱一龙 抵达 山川 湖海 之中 沿途 一帧 星芒 收进 载满 痴梦 行囊 重逢 佳日 时 玄妙 不是 情话绵绵 下花 轻舞 城镇 繁茂 盛世 风云 朱一龙 零七,1
感谢 大连 老铁,1
发生 想 解决 未雨绸缪 体现 西安 政府 平时 执政 能力 一点 应急 预案 没有 想 一出 一出,-1
下午 一如既往 支持,1
致敬 平凡 致敬 一位 默默 付出 辛勤 劳动者 没有 没有 火神山雷神山 青年 演员 黄明昊 致敬 平凡 英雄,1
夏夜 吹 凉风 想 回到 小时候,1
王一博 正 能量 正 能量 艺人 王一博,1
邓伦 极限 挑战 邓伦 密室 逃脱 小心 心 巴黎 欧莱雅 阳光 代言人 邓伦 微风 邓伦 博雅 概率 世界 里 唯一 一秒 一秒 一秒 喜欢 邓伦 邓伦 邓伦 邓伦 邓伦,1
加油 法国 早日 战胜 病魔,1
抱抱 抱抱,1
加油 谢谢你们,1
库存 差不多,-1
学到,1
四有 青年 马 政委 污,-1
妈妈 辛苦,1
反正 隔岸观火 疫情 紧张 不是 搞 污名 化 幼稚 台湾人 格局,-1
棒 开学 季,1
隔离 两个 多月 湖北 外省人 返乡 隔离 敛财 已有 绿码 健康 证明 通行证 点对点 湖北 政府 包车 送回 居家 隔离 完全 避免 风险 滞留 湖北 外地人 九江 晨报,-1
为啥 不占栋 楼 那种 交工 楼 不是 容纳 速度,-1
不能 标题 做 好听 无名英雄 说成 无名之辈,-1
一板 鸡蛋 事情 上纲上线 地步 闲 方舱医院 扫 厕所 疫情 真的 照妖镜 好像 疫情 生活 恢复 不要 做人 大肆 祸祸 看不懂 为啥 分给 邻居,-1
上海 发生 事 令人 失望,-1
疯了 要求 地级市 建 方舱医院 扩充 医生 涨 待遇 扩充 队伍 行不行 地级市 建 方舱 钱 做 一轮 核酸 钱 增加 张 床位,-1
怀化 联通 湖南 联通 抗击 疫情 央企 福建 联通 快速 响应 保障 方舱医院 通信 畅通,1
大众 跟着 一群 妖言惑众 受罪 极盼 胡锡进 之流 阳 转阴 俯卧撑 做不了,-1
平凡 英雄 致敬 紧急情况 援建 雷 神山 火神 山 基建 致敬,1
和平时期 英雄 欢迎 凯旋 一步 搞好 经济,1
老梁 米国 绿卡,-1
新冠 住 医院 非新冠 转移 医院 留 床位 新冠 住 玩完 费解 非新冠 疾病 代表 新冠,-1
非典 病人 家属 提醒 事情 地步 只能 恳请 监督 方舱医院 后续 医药 设备 医护人员 跟上 不能 类似 悲剧 发生,-1
真的 话 封控加 居家 隔离 就算 感染 阳性 一家 一家人 里 重症 医院 轻症 自愈 说 观点 不必 进 方舱 奥密克戎 不是 武汉 那种 严重 致死率 品种 共存 风险 导致 感染率 上升 重症 率 封控 完全 搞 方舱 一家人 感染 传染 一家人,-1
辛苦 可爱 疫情 结束 唐人街 探案 帮 介绍 辽宁省 锦州市 医院 驰援 医疗队 吴筱屿 岁 雷神山医院 年龄 最小 医护人员,1
瞧瞧 说不出 话 挖 鼻 挖 鼻 早 上学 整天 睡觉 唉 难 成大器,-1
真的 搞不懂 一类 想法 好像 平凡 正 能量 完全 没有 发出 不是 别有 目的 毫无意义 采访 方舱医院 说 全是 正 能量 没意思 记者 如实 记录 坏事 好事 发出 自有 选择 无谓 对立 警惕 唤醒 斗志 使人暖心 通通 受害者 长相 隐私 那才 没有,-1
加油,1
王凯 天使 护航 王凯 天使 护航 辛苦 爱 爱 爱,1
抱抱 抱抱 抱抱,1
濉溪县 地方 不够 允悲,-1
后续 开学 季,1
加油 注意安全 抱抱,1
院长 强调 降低 死亡率 题 设后 剧情 张伯礼 率领 中医 团队 驰援 武汉 短 时间 中医 治疗 配方 治疗 危重 患者 病人 脱离危险 轻症 患者 建立 方舱医院 提供 中医 汤剂 治疗 彻底 扭转 新冠 病毒 肆虐 不利 局面 电影 里 婆婆 莫名其妙 自愈 旁白 说 武汉 第三 百个 痊愈 罔顾 事实,-1
加油 加油 加油,1
隔离 酒店 方舱医院 不能 收拾 收拾 独居 高危 人群 住,-1
赵少康 混蛋 他敢 回 河北 老家 非 两个 嘴巴 不可 卖祖求荣,-1
最右 一辈子 关 方舱 里 方舱 千万别 关 最右 人接 保护 最右 封 上瘾 医院 学校 核酸 证明 算 稳妥 拼死 吃 河豚 最快 一个月 最慢 过年 见分晓 躺平 成 经济 医院 什,-1
口 嗨 王者 嘻嘻 嘻嘻,1
不怎么 统计 放开 死亡率 低,-1
方舱医院 打扑克 跳 广场 舞 允悲,-1
担心 一下子 放开 太 着急 不是 体质 挺 家里 小孩 老人 到时候 医疗 体系 跟不上 挤兑 太 严重 这才 重点,-1
失望 大失所望,-1
爱,1
精彩 分享,1
最让人 生气 心寒 失望 表彰 环节 抗疫 代表 没有 女性 含泪 剃光头 怀孕 战场 经期 用不上 卫生巾 女性 医护人员 男 建设 火神山雷神山 方舱医院 女性 建筑工人 地方 不想 记住 妄图 吃掉 功劳,-1
国家 卫健委 主任 马晓伟 方舱医院 实现 三个 感染 死亡 回头,-1
加油 加油 加油,1
期待 热巴 心 心 心,1
太 羡慕,1
媒体 整顿 好多 官媒 一点 觉悟 没有 包括 卸任 主编,-1
真 漂亮,1
几天 懂 方舱医院 总 不能 情况 个案 情况 判断 好坏 求求 做点 人事,-1
一位 博主说 中国 五成 伊朗 韩国 塞尔维亚 预计 八九成 呆 梨子 支援 专家 骂 成狗 做 三成,-1
